GEOLAT,GEOLON,station
64.18,338.3,LRV
-15.23,28.19,LSK
49.9,23.75,LVV
-5.02,104.06,LWA
64.61,18.75,LYC
78.2,15.83,LYR
36.09,103.85,LZH
46.87,263.55,M01
43.6,264.4,M03
41.36,263.84,M04
38.5,263.7,M05
35,262.6,M06
32.98,263.25,M07
29.44,261.39,M08
26.4,262.2,M09
24.8,260.4,M10
50.3,5.68,MAB
69.46,23.7,MAS
-67.61,62.88,MAW
76.32,240.64,MBC
14.38,343.03,MBO
72.6,321.65,MCG
-77.85,166.67,MCM
73.93,322.38,MCN
-54.5,158.95,MCQ
66.48,313.71,MCR
72,317.41,MCW
54.62,246.65,MEA
62.77,30.97,MEK
59.97,150.86,MGD
28.21,182.62,MID
-66.55,93.02,MIR
39.11,141.2,MIZ
-38.36,145.18,MLB
29.52,30.89,MLT
43.91,144.19,MMB
1.44,124.84,MND
55.48,37.32,MOS
42.6,288.52,MSH
44.37,142.27,MSR
68.02,23.53,MUO
14.37,121.02,MUT
-1.16,36.48,NAB
78.92,11.95,NAL
56.4,298.3,NAN
61.16,314.56,NAQ
47.63,16.72,NCK
48.27,242.88,NEW
52.07,12.68,NGK
-15.09,39.25,NMP
69.4,88.1,NOK
71.09,25.79,NOR
81.6,343.33,NRD
60.5,24.65,NUR
55.03,82.9,NVS
46.22,30.88,ODE
-63.32,302.1,OHI
38.43,141.47,ONW
-60.74,315.26,ORC
-40.34,286.91,OSO
45.4,284.45,OTT
64.52,27.23,OUJ
65.1,25.85,OUL
45.41,16.66,P01
-40.34,289.91,PAC
-49.35,70.26,PAF
47.49,24.18,PAG
-64.77,295.95,PAL
68.5,270.3,PBC
70.1,170.9,PBK
55.28,282.26,PBQ
38.1,23.9,PEG
66.9,24.08,PEL
52.97,158.25,PET
-83.67,88.68,PG0
-85.5,77.2,PG1
-84.42,57.96,PG2
-84.42,37.62,PG3
-83.34,12.2,PG4
-81.96,5.71,PG5
66.1,294.2,PGC
21.03,105.95,PHU
-31.4,294.47,PIL
50.2,263.96,PIN
65.08,212.74,PKR
-53.2,289.1,PNT
42.98,131.73,PPI
-17.57,210.42,PPT
-3.6,119.4,PRP
-51.7,302.11,PST
52.94,158.25,PTK
-0.05,109.25,PTN
-18.33,290.5,PUT
33.87,35.64,QSB
58.22,256.32,RAL
62.82,267.89,RAN
52.14,246.16,RED
74.69,265.11,RES
43.48,143.76,RIK
43.97,12.08,RNC
-23.19,150.31,ROC
55.17,8.55,ROE
51.07,245.87,ROT
66.5,273.8,RPB
64.94,10.99,RVK
64.37,13.36,S01
-77.85,166.78,SBA
6.02,116.07,SBH
43.93,299.99,SBL
-0.55,100.3,SCN
70.48,338.03,SCO
-30,288.87,SER
36.67,354.06,SFS
-15.95,354.27,SHE
55.38,199.54,SHU
57.07,224.67,SIT
18.11,293.85,SJG
65.42,307.1,SKT
60.02,248.05,SMI
67.37,26.63,SOD
61.08,4.84,SOL
25.12,66.44,SON
70.54,22.22,SOR
-90,0,SPA
60.54,29.72,SPG
39.55,355.65,SPT
67.02,309.28,STF
47.6,307.32,STJ
45.32,26.25,SUA
72.3,321.7,SUM
54.01,23.18,SUW
76.02,294.9,SVS
52.91,19.61,SZC
50.37,247.02,T03
46.24,275.66,T15
39.19,240.2,T16
44.95,287.87,T17
46.09,259.32,T18
47.61,245.33,T19
40.18,281.62,T20
43.08,257.41,T21
56.83,226.84,T22
43.66,274.86,T23
44.78,271.4,T24
45.14,241.07,T25
53.3,299.5,T28
58.3,291.8,T29
49.8,285.6,T30
56.5,280.8,T31
49.4,277.7,T32
54,259.1,T33
64.7,249.3,T34
63.6,249.1,T35
54.71,246.69,T36
53.8,237.2,T37
61,224.8,T38
62.3,209.8,T39
63,204.4,T40
67,199.6,T41
55.15,254.6,T42
50.9,245.7,T43
58.47,281.95,T44
55.28,282.24,T45
60.05,282.71,T46
62.2,284.35,T47
54.8,293.19,T48
50.22,293.73,T49
48.65,287.55,T50
48.05,282.22,T51
53.79,282.38,T52
60.82,281.85,T53
39.1,283.15,T54
60.55,208.74,T55
45.59,267.03,T56
38.25,255.39,T57
37.42,237.83,T58
57.79,207.6,T59
37.88,284.56,T61
76.54,291.18,TAB
69.54,266.45,TAL
22.79,5.53,TAM
-18.92,47.55,TAN
58.26,26.46,TAR
-37.1,347.69,TDC
19.75,260.82,TEO
17.66,121.76,TGG
77.47,290.77,THL
46.9,17.54,THY
71.58,129,TIK
8.48,76.95,TIR
1.29,124.95,TND
69.66,18.94,TRO
62.67,150.24,TRP
-43.25,294.68,TRW
-19.22,17.7,TSU
32.17,249.27,TUC
-19.27,146.82,TWN
70.68,307.87,UMQ
72.78,303.85,UPN
59.9,17.35,UPS
33.34,278.54,USC
51.93,349.75,VAL
48.52,236.58,VIC
79.48,76.98,VIZ
-39.48,286.86,VLD
48.19,282.24,VLO
-70.7,351.7,VNA
-78.45,106.87,VOS
-17.28,292.38,VRE
-22.4,316.35,VSS
48.49,18.84,VYH
51.9,256.1,WAD
-12.68,141.88,WEP
-3.55,143.62,WEW
49.8,264.75,WHS
47.55,15.52,WIC
43.81,87.71,WMQ
53.75,9.07,WNG
60.02,129.72,YAK
9.3,138.5,YAP
62.48,245.52,YKC
31.19,130.62,YMK
53.95,358.95,YOR
50.28,20.58,ZAG
66.75,123.26,ZGN
65.75,150.78,ZYK
